OBJECTID,Name,Jurisdiction,Area_km2,Accessible,Bridge to,Jumps,Buffer Distance (km)
3026,Village Island,BRITISH COLUMBIA,8.499011876,yes,no,2,1.1
2905,Viscount Island,BRITISH COLUMBIA,9.265623782,yes,no,1,1.1
2026,Walbran Island,BRITISH COLUMBIA,32.19579085,yes,no,1,1.1
4701,Waldron Island,USA,11.91557291,no,no,NA,NA
5452,Wales Island,BRITISH COLUMBIA,96.67881968,no,no,NA,NA
4569,Wallace Island,BRITISH COLUMBIA,0.914688154,yes,no,4,1.1
4322,Warne Island,BRITISH COLUMBIA,1.423407468,yes,no,3,1.1
2300,Watson Island,BRITISH COLUMBIA,11.22564246,yes,no,1,1.1
2035,Welch Island,BRITISH COLUMBIA,2.045499514,yes,no,1,1.1
3082,West Cracroft Island,BRITISH COLUMBIA,152.214324,yes,no,1,1.1
2521,West Redonda Island,BRITISH COLUMBIA,174.1416858,yes,no,2,2
2408,West Thurlow Island,BRITISH COLUMBIA,81.70329477,yes,no,1,1.1
92,Whidbey Island,USA,441.629407,yes,yes,1,1.1
3795,Whiteley Island,BRITISH COLUMBIA,1.557551646,yes,no,3,1.1
